Usuario,Importe,Operacion,Categoria,Descripcion,Adjunto,Creacion,Fecha_operacion
Luchita,292.76,Ingreso,SENASA,"Pago de senasa ",https://res.cloudinary.com/gscloudinary/image/upload/v1679438764/conta-fam/mjv8oygxuxpqsgphdy1n.jpg,"March 21, 2023 5:46 PM","March 21, 2023"
Luchita,13,Gasto,Otros,Impuesto por facturación Sunat,https://res.cloudinary.com/gscloudinary/image/upload/v1679351586/conta-fam/wehtg5muapurggrssxgv.jpg,"March 20, 2023 5:33 PM","March 20, 2023"
Luchita,15,Gasto,Recojo de chifles,Recojo,https://res.cloudinary.com/gscloudinary/image/upload/v1679268767/conta-fam/auzumvfedptqvgcvik1d.jpg,"March 19, 2023 6:32 PM","March 17, 2023"
Luchita,390,Gasto,Compra a Keylita,"Pago de pedido a Keylita ",https://res.cloudinary.com/gscloudinary/image/upload/v1678853526/conta-fam/shtwazhy7hdg13hjaivo.jpg,"March 14, 2023 11:12 PM","March 10, 2023"
Luchita,199.5,Ingreso,Trabajo Lucha,"Venta de chifles en oficina ",https://res.cloudinary.com/gscloudinary/image/upload/v1677649551/conta-fam/hq2lkgtqclkduhg5yhuc.jpg,"March 1, 2023 12:45 AM","March 1, 2023"
Luchita,40,Gasto,Otros,"ALINEAMIENTO ",https://res.cloudinary.com/gscloudinary/image/upload/v1677649477/conta-fam/hhvmyusqp6mt5tggzka0.jpg,"March 1, 2023 12:44 AM","February 28, 2023"
Luchita,874.8,Gasto,Otros,Compra de 2 llantas para camioneta,https://res.cloudinary.com/gscloudinary/image/upload/v1677534760/conta-fam/el60fq4t9mnhtqswlfee.jpg,"February 27, 2023 4:52 PM","February 27, 2023"
Luchita,585.52,Ingreso,SENASA,"Pago de dos facturas ",https://res.cloudinary.com/gscloudinary/image/upload/v1677527996/conta-fam/atmazqqxxv77e0qqdrli.jpg,"February 27, 2023 2:59 PM","February 27, 2023"
Luchita,45.5,Ingreso,Familiares,"Pedido en condominio ",https://res.cloudinary.com/gscloudinary/image/upload/v1677371078/conta-fam/vda2olf29fnmsf1yz6s1.jpg,"February 25, 2023 7:24 PM","February 24, 2023"
Luchita,15,Gasto,Recojo de chifles,Recojo de pedido,https://res.cloudinary.com/gscloudinary/image/upload/v1677277784/conta-fam/zevcwc2tdt98jiqyyeg6.jpg,"February 24, 2023 5:29 PM","February 24, 2023"
Luchita,426,Gasto,Compra a Keylita,Pedido,https://res.cloudinary.com/gscloudinary/image/upload/v1677084254/conta-fam/rmbcpk1cav1w1qmzy3gx.jpg,"February 22, 2023 11:44 AM","February 22, 2023"
Juanito,103.2,Ingreso,Otros,"Del Británico ",https://res.cloudinary.com/gscloudinary/image/upload/v1677008896/conta-fam/pkza1yzk67bwhnqoqxis.jpg,"February 21, 2023 2:48 PM","February 21, 2023"
Luchita,30,Ingreso,Familiares,Pedido Emily,https://res.cloudinary.com/gscloudinary/image/upload/v1676767705/conta-fam/gzca9ffc8inu6ml8fnki.jpg,"February 18, 2023 7:48 PM","February 18, 2023"
Luchita,150,Gasto,Materiales,Etiquetas,https://res.cloudinary.com/gscloudinary/image/upload/v1676563793/conta-fam/np6mxbjxlgqebeyx3l3k.jpg,"February 16, 2023 11:09 AM","February 16, 2023"
Luchita,15,Gasto,Recojo de chifles,Recojo,https://res.cloudinary.com/gscloudinary/image/upload/v1676319162/conta-fam/xbqjbxh9wlupaaz8hsoe.jpg,"February 13, 2023 3:12 PM","February 13, 2023"
