Usuario,Importe,Operacion,Categoria,Descripcion,Adjunto,Creacion,Fecha_operacion
Juanito,20,Gasto,Bodega,"Detergente, suavitel, pan, palta",,"June 30, 2022 10:55 PM","June 30, 2022"
Luchita,32.76,Gasto,Bodega,Compras en vea,https://res.cloudinary.com/gscloudinary/image/upload/v1656645023/conta-fam/ghtwiihdkxbjpmyewynk.jpg,"June 30, 2022 10:10 PM","June 30, 2022"
Juanito,60,Ingreso,Depósito,Del martes 28. Interbank.,https://res.cloudinary.com/gscloudinary/image/upload/v1656475136/conta-fam/texrpbjvhaljtboabxp6.jpg,"June 28, 2022 10:58 PM","June 28, 2022"
Juanito,20,Gasto,Bodega,"Del martes 28. Leche, palta, arroz, pan.",,"June 28, 2022 10:57 PM","June 28, 2022"
Juanito,20,Ingreso,Depósito,"Del lunes 27. Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1656388469/conta-fam/vzpwg1tvggvnbsoxicss.jpg,"June 27, 2022 10:54 PM","June 27, 2022"
Juanito,15,Gasto,Otros,Mi menú del lunes 27,,"June 27, 2022 10:53 PM","June 27, 2022"
Juanito,45,Gasto,Bodega,"Lunes 27, papaya, plátanos, café grande, leche, azúcar, mandarina, palta, queso, leche, pan.",,"June 27, 2022 10:52 PM","June 27, 2022"
Luchita,35.4,Gasto,Bodega,"Compras en mercado, merluza",,"June 30, 2022 9:54 PM","June 27, 2022"
Luchita,54.45,Gasto,Bodega,Compras en Vea,https://res.cloudinary.com/gscloudinary/image/upload/v1656644899/conta-fam/c6o3qvgfaav6yqlkucfw.jpg,"June 30, 2022 10:08 PM","June 25, 2022"
Juanito,30,Ingreso,Depósito,"Del viernes 24. Interbank ",https://res.cloudinary.com/gscloudinary/image/upload/v1656190452/conta-fam/aedst4ku5qokgo114r6n.jpg,"June 25, 2022 3:54 PM","June 24, 2022"
Juanito,50,Gasto,Bodega,Del viernes 24. Se incluye compras sábado x la mañana,,"June 25, 2022 3:52 PM","June 24, 2022"
Juanito,24,Gasto,Bodega,"Huevos,palta,mostaza, mandarina,ajíes,pan",,"June 23, 2022 8:57 PM","June 23, 2022"
Juanito,46,Ingreso,Depósito,Del jueves 23,https://res.cloudinary.com/gscloudinary/image/upload/v1656035759/conta-fam/p210cjg2yweo6qkst5fm.jpg,"June 23, 2022 8:56 PM","June 23, 2022"
Luchita,227.7,Gasto,Luz,Pago de Luz del Sur,https://res.cloudinary.com/gscloudinary/image/upload/v1656035163/conta-fam/pvqrmwqvnn9zjsypncpk.jpg,"June 23, 2022 8:46 PM","June 23, 2022"
Juanito,55,Ingreso,Depósito,Yapeo del día miércoles 22,https://res.cloudinary.com/gscloudinary/image/upload/v1655957254/conta-fam/epzq6pfxexjdmnxifyzf.jpg,"June 22, 2022 11:07 PM","June 22, 2022"
Juanito,15,Gasto,Bodega,"Café, 2 paltas, bellacos, bolsas basura ",,"June 22, 2022 11:06 PM","June 22, 2022"
Juanito,43,Ingreso,Depósito,Ingreso del martes 21,https://res.cloudinary.com/gscloudinary/image/upload/v1655927193/conta-fam/ezy2sbzzmrinego0v2in.jpg,"June 22, 2022 2:46 PM","June 21, 2022"
Juanito,27,Gasto,Bodega,"Aceite,leche,pasas,pan,palta, pimiento ",,"June 22, 2022 2:44 PM","June 21, 2022"
Luchita,45,Gasto,Bodega,"Pollo mercado
",https://res.cloudinary.com/gscloudinary/image/upload/v1655862999/conta-fam/z3vzpqxzmlsww9akpztk.jpg,"June 21, 2022 8:56 PM","June 21, 2022"
Juanito,5,Ingreso,Depósito,Del lunes 20.,https://res.cloudinary.com/gscloudinary/image/upload/v1655784822/conta-fam/usjrxzg1rai5czh1vlgu.jpg,"June 20, 2022 11:13 PM","June 20, 2022"
Juanito,65,Gasto,Bodega,"3 atunes, queso, hogdog, arroz, colgate, huevos, pan,palta, mandarina, plátanos, tomate, pan,etc",,"June 20, 2022 11:12 PM","June 20, 2022"
Luchita,94.56,Gasto,Bodega,Metro y Tottus de ayer sábado 18/6 previos día del padre,,"June 19, 2022 10:54 AM","June 18, 2022"
Juanito,15,Ingreso,Depósito,Yapee a Luchi del viernes 17,https://res.cloudinary.com/gscloudinary/image/upload/v1655610821/conta-fam/exiyc2pbcqveklfpgscg.jpg,"June 18, 2022 10:53 PM","June 17, 2022"
